iter	Accuracy	Logloss
0	0.7551759834	0.6858124332
1	0.7662180814	0.6792425615
2	0.757073844	0.6729356374
3	0.7622498275	0.6663511543
4	0.7603519669	0.6594659492
5	0.7589717046	0.6534141055
6	0.7629399586	0.6486224028
7	0.7596618357	0.6430472717
8	0.7632850242	0.6386415699
9	0.7657004831	0.6339711987
10	0.7658730159	0.6291703529
11	0.7669082126	0.6247046739
12	0.7677708765	0.6196254049
13	0.7700138026	0.6145071046
14	0.772084196	0.6103835043
15	0.770531401	0.6059638539
16	0.7698412698	0.6022124766
17	0.7688060732	0.5968681863
18	0.772084196	0.5926024207
19	0.7731193927	0.5880909447
20	0.7731193927	0.5844767493
21	0.773636991	0.5815038988
22	0.7727743271	0.5787191102
23	0.7729468599	0.575071555
24	0.7755348516	0.5720794697
25	0.7765700483	0.5695671699
26	0.7786404417	0.5664000458
27	0.77605245	0.5637679959
28	0.7795031056	0.5608013428
29	0.7779503106	0.5573034521
30	0.7784679089	0.5547608808
31	0.7769151139	0.5512008951
32	0.7789855072	0.5492203007
33	0.777605245	0.5471713918
34	0.7789855072	0.5447563141
35	0.7805383023	0.5426580332
36	0.7819185645	0.5405965285
37	0.7812284334	0.5390132197
38	0.7814009662	0.5371677991
39	0.7810559006	0.5342568393
40	0.7822636301	0.5317377465
41	0.7843340235	0.529875856
42	0.7843340235	0.5279426662
43	0.7834713596	0.5255356091
44	0.7850241546	0.5239133707
45	0.7845065562	0.5222594849
46	0.7839889579	0.5205863135
47	0.7843340235	0.5184102579
48	0.7853692202	0.5169806775
49	0.7858868185	0.5155268946
50	0.7850241546	0.5140723414
51	0.7867494824	0.5128150266
52	0.7857142857	0.5112967662
53	0.7851966874	0.5101310348
54	0.7853692202	0.5084659207
55	0.7855417529	0.5067546026
56	0.7857142857	0.5046960356
57	0.7851966874	0.5030498433
58	0.7864044168	0.5017000908
59	0.7853692202	0.5004453129
60	0.7843340235	0.4992906194
61	0.784679089	0.4978076786
62	0.7845065562	0.4963756834
63	0.7850241546	0.4950295924
64	0.7857142857	0.4938893617
65	0.7853692202	0.4924910099
66	0.784679089	0.4912856657
67	0.7850241546	0.4903003659
68	0.7855417529	0.4889752968
69	0.7862318841	0.4877285682
70	0.7855417529	0.486589889
71	0.7865769496	0.4855597066
72	0.7864044168	0.4846929983
73	0.7865769496	0.4839700185
74	0.7869220152	0.4830829281
75	0.787094548	0.4818879341
76	0.7883022774	0.4811585181
77	0.7879572119	0.4806731106
78	0.7889924086	0.4798162197
79	0.7893374741	0.4789818696
80	0.7895100069	0.4780813952
81	0.7893374741	0.4772680991
82	0.7896825397	0.4762111151
83	0.7896825397	0.4755179712
84	0.7905452036	0.4743156982
85	0.7907177364	0.473486223
86	0.7912353347	0.4728253573
87	0.7910628019	0.4714876219
