iter	Passed	Remaining
0	4	6219
1	8	6155
2	12	5999
3	15	5903
4	19	5791
5	22	5720
6	26	5676
7	30	5677
8	33	5628
9	37	5647
10	41	5653
11	45	5615
12	49	5642
13	52	5624
14	56	5633
15	60	5616
16	64	5639
17	68	5657
18	72	5659
19	76	5649
20	79	5612
21	83	5601
22	87	5600
23	90	5579
24	94	5548
25	97	5534
26	101	5512
27	104	5492
28	107	5477
29	111	5468
30	115	5455
31	118	5438
32	121	5419
33	125	5399
34	128	5379
35	131	5366
36	135	5356
37	138	5333
38	142	5326
39	145	5322
40	149	5320
41	153	5318
42	156	5316
43	160	5304
44	164	5310
45	167	5310
46	171	5310
47	175	5316
48	179	5313
49	182	5303
50	186	5296
51	189	5289
52	193	5280
53	197	5278
54	200	5267
55	204	5268
56	207	5261
57	211	5260
58	214	5249
59	218	5242
60	221	5230
61	227	5266
62	230	5258
63	234	5259
64	237	5251
65	241	5242
66	244	5237
67	248	5230
68	252	5227
69	255	5218
70	259	5214
71	262	5211
72	266	5208
73	270	5205
74	273	5204
75	277	5196
76	280	5192
77	284	5193
78	288	5185
79	292	5190
80	295	5180
81	299	5181
82	303	5178
83	307	5184
84	311	5179
85	314	5170
86	317	5161
87	321	5160
88	325	5153
89	328	5147
90	332	5142
91	335	5136
92	339	5131
93	342	5124
94	346	5120
95	349	5116
96	353	5109
97	356	5100
98	360	5100
99	363	5093
100	367	5093
101	371	5089
102	374	5084
103	378	5080
104	382	5080
105	385	5075
106	389	5071
107	393	5066
108	396	5064
109	400	5062
110	404	5056
111	407	5052
112	411	5047
113	414	5041
114	417	5033
115	421	5029
116	424	5022
117	428	5023
118	432	5019
119	436	5017
120	439	5013
121	443	5008
122	446	5003
123	450	4998
124	453	4992
125	457	4985
126	460	4978
127	463	4973
128	467	4969
129	470	4963
130	474	4960
131	478	4957
132	482	4956
133	486	4954
134	490	4955
135	493	4952
136	497	4948
137	501	4946
138	504	4943
139	508	4939
140	511	4933
141	515	4929
142	518	4924
143	523	4925
144	526	4921
145	530	4917
146	533	4912
147	537	4911
148	540	4904
149	544	4901
150	548	4897
151	551	4891
152	555	4887
153	558	4883
154	562	4879
155	565	4874
156	569	4870
157	572	4864
158	576	4865
159	580	4859
160	583	4856
161	587	4852
162	591	4853
163	595	4849
164	599	4847
165	602	4844
166	606	4840
167	609	4835
168	613	4829
169	616	4826
170	619	4817
171	623	4815
172	627	4811
173	631	4809
174	634	4804
175	639	4807
176	642	4804
177	646	4798
178	649	4793
179	653	4794
180	658	4797
181	662	4797
182	666	4796
183	670	4796
184	675	4799
185	679	4800
186	683	4802
187	688	4802
188	692	4802
189	696	4799
190	700	4800
191	704	4797
192	707	4792
193	711	4788
194	714	4783
195	718	4782
196	722	4778
197	726	4774
198	729	4769
199	733	4765
200	736	4760
201	740	4755
202	743	4750
203	747	4745
204	750	4742
205	754	4739
206	758	4737
207	762	4733
208	766	4731
209	769	4728
210	773	4727
211	777	4725
212	781	4723
213	785	4720
214	789	4717
215	793	4715
216	797	4714
217	801	4715
218	806	4715
219	810	4713
220	814	4714
221	818	4713
222	822	4709
223	826	4707
224	830	4705
225	834	4705
226	838	4702
227	842	4698
228	846	4696
229	850	4694
230	853	4690
231	857	4688
232	861	4685
233	865	4683
234	869	4681
235	873	4680
236	877	4677
237	881	4675
238	885	4672
239	889	4668
240	892	4664
241	896	4660
242	900	4657
243	903	4652
244	907	4648
245	911	4646
246	915	4644
247	918	4638
248	922	4634
249	926	4630
250	941	4684
251	944	4679
252	948	4674
253	951	4668
254	955	4664
255	958	4659
256	962	4656
257	966	4652
258	969	4647
259	973	4642
260	977	4638
261	980	4633
262	984	4628
263	987	4623
264	991	4619
265	995	4615
266	998	4612
267	1002	4608
268	1005	4603
269	1009	4600
270	1013	4596
271	1016	4591
272	1021	4590
273	1025	4587
274	1028	4582
275	1032	4579
276	1035	4574
277	1039	4568
278	1042	4562
279	1045	4556
280	1049	4551
281	1052	4546
282	1056	4542
283	1059	4538
284	1064	4536
285	1067	4530
286	1071	4527
287	1074	4520
288	1077	4516
289	1081	4511
290	1085	4508
291	1088	4503
292	1091	4498
293	1095	4493
294	1099	4489
295	1102	4485
296	1106	4480
297	1110	4479
298	1114	4474
299	1117	4470
300	1121	4465
301	1124	4462
302	1128	4457
303	1131	4453
304	1135	4448
305	1139	4446
306	1143	4441
307	1146	4436
308	1149	4431
309	1152	4426
310	1156	4421
311	1160	4417
312	1163	4412
313	1166	4407
314	1170	4402
315	1173	4398
316	1177	4394
317	1181	4391
318	1184	4386
319	1188	4381
320	1191	4377
321	1195	4372
322	1198	4368
323	1202	4363
324	1205	4358
325	1209	4356
326	1213	4353
327	1217	4349
328	1221	4346
329	1224	4341
330	1227	4336
331	1231	4331
332	1234	4326
333	1237	4321
334	1241	4317
335	1244	4312
336	1248	4307
337	1251	4302
338	1254	4298
339	1258	4293
340	1261	4288
341	1265	4284
342	1269	4280
343	1272	4276
344	1276	4272
345	1280	4269
346	1283	4264
347	1286	4260
348	1290	4255
349	1294	4253
350	1298	4251
351	1303	4249
352	1306	4246
353	1310	4241
354	1313	4237
355	1317	4234
356	1322	4233
357	1326	4231
358	1330	4229
359	1334	4225
