iter	Logloss
0	0.6735449025
1	0.6585809478
2	0.6484572228
3	0.628785464
4	0.614820357
5	0.6057931779
6	0.5949176352
7	0.5864261702
8	0.5799273195
9	0.5742938382
10	0.5599829231
11	0.5548551853
12	0.5451267147
13	0.5369188542
14	0.5287504952
15	0.5223913796
16	0.5147765078
17	0.5100420358
18	0.5011959122
19	0.4969758333
20	0.4907360711
21	0.4852123708
22	0.4819135623
23	0.4762467355
24	0.4698383853
25	0.4662358842
26	0.4625701481
27	0.4569612453
28	0.4531557461
29	0.4496785194
30	0.4474541948
31	0.4440672278
32	0.4395852505
33	0.4368707661
34	0.433383454
35	0.4289407393
36	0.426684282
37	0.4229107573
38	0.420888668
39	0.4181920761
40	0.4160387619
41	0.4125884465
42	0.410721235
43	0.4087706983
44	0.4056555415
45	0.4030356637
46	0.4001401016
47	0.3978349288
48	0.395068625
49	0.3927610913
50	0.3899265871
51	0.3880323572
52	0.3858730166
53	0.3839183611
54	0.3817399311
55	0.3786052439
56	0.3771050398
57	0.3757157563
58	0.3744203034
59	0.3727751147
60	0.3702157472
61	0.3689140041
62	0.3670747968
63	0.3653347595
64	0.3633052696
65	0.3620450639
66	0.3602393386
67	0.3589910194
68	0.357458481
69	0.356189747
70	0.3546959421
71	0.3535086693
72	0.3520248744
73	0.3509738862
74	0.3493806687
75	0.3479824609
76	0.3467505306
77	0.3453055472
78	0.3432210124
79	0.3415659392
80	0.3402705379
81	0.3392346807
82	0.3380374781
83	0.3368174105
84	0.3356866488
85	0.3342489967
86	0.3330333459
87	0.3319076919
88	0.3310782191
89	0.3301312418
90	0.3291199322
91	0.3280900747
92	0.3271955858
93	0.3261238133
94	0.324076235
95	0.3231592073
96	0.3223603636
97	0.3214096751
98	0.3206774896
99	0.3189093808
100	0.3182133642
101	0.3172274148
102	0.3164419646
103	0.3155252633
104	0.3148153299
105	0.3140734748
106	0.3131098423
107	0.3122829046
108	0.3114994012
109	0.3104406689
110	0.3096636998
111	0.3088798742
112	0.3078500818
113	0.3067750437
114	0.305950466
115	0.3053775976
116	0.3045844043
117	0.3039027083
118	0.3029015197
119	0.3015353276
120	0.3008371481
121	0.3001002893
122	0.2995968753
123	0.2988144044
124	0.2981933117
125	0.2977470667
126	0.2967935407
127	0.2960624795
128	0.2955793069
129	0.2948549566
130	0.29415024
131	0.2934431344
132	0.2927741009
133	0.2922922106
134	0.2917322463
135	0.2912667185
136	0.2906892498
137	0.2897098991
138	0.2892265818
139	0.2885112987
140	0.2878789431
141	0.2872161736
142	0.2865292332
143	0.2859928614
144	0.2853414526
145	0.2849140696
146	0.2844551778
147	0.2838013377
148	0.2832939327
149	0.2827135074
150	0.2823561352
151	0.281632008
152	0.2811813688
153	0.2806631601
154	0.2800927639
155	0.2795343721
156	0.2788978848
157	0.2777537465
158	0.2772391506
159	0.2763828899
160	0.2760323432
161	0.2753168811
162	0.2749641956
163	0.274303162
164	0.2736907448
165	0.273225416
166	0.2728948525
167	0.2724111231
168	0.2719517036
169	0.2715711674
170	0.2709316269
171	0.2704062708
172	0.2699743323
173	0.2694007733
174	0.269044163
175	0.2685795213
176	0.2682790937
177	0.2679394539
178	0.2673751631
179	0.2667615378
180	0.2660489423
181	0.2655016406
182	0.2650260385
183	0.2647806543
184	0.2642819342
185	0.2638494696
186	0.2634989115
187	0.2630045574
188	0.2625437896
189	0.2621493967
190	0.2618662081
191	0.2616068179
192	0.2610265912
193	0.2605664583
194	0.2602458554
195	0.2598217401
196	0.2595943812
197	0.2590677502
198	0.2587348611
199	0.2580340522
200	0.2578247733
201	0.25728693
202	0.2567949048
203	0.2563456582
204	0.2559494434
205	0.2556320987
206	0.2552415332
207	0.2550202171
208	0.2546562528
209	0.2543105252
210	0.2539085477
211	0.2533175718
212	0.2527492727
213	0.2524673302
214	0.2521781851
215	0.2517969664
216	0.251519932
217	0.251152526
218	0.2507518128
219	0.2504905081
220	0.2502230113
221	0.2498693716
222	0.2494311401
223	0.2488633942
224	0.2484218881
225	0.2480819086
226	0.2477128403
227	0.2473369326
228	0.2469663254
229	0.2467021761
230	0.2464528704
231	0.2462266322
232	0.2457741397
233	0.2454397472
234	0.2450852095
235	0.2448064234
236	0.2446010107
237	0.2443626026
238	0.2441745345
239	0.2439624792
240	0.2435981046
241	0.2432598272
242	0.2426287953
243	0.2421856932
244	0.241816966
245	0.2414696244
246	0.2412810887
247	0.2410264239
248	0.2408613717
249	0.2405397193
250	0.2401507086
251	0.2397674129
252	0.2393833321
253	0.2390199488
254	0.2388265198
255	0.2385620408
256	0.2381898156
257	0.2379418162
258	0.23771836
259	0.2375358576
260	0.2373658636
261	0.2371150853
262	0.2369494782
263	0.2366118191
264	0.2364467455
265	0.2359695907
266	0.2354859356
267	0.2352689579
268	0.2347312732
269	0.2345140201
270	0.2342448407
271	0.233853744
272	0.2335828514
273	0.2332474722
274	0.2329254996
275	0.232730506
276	0.2324526497
277	0.2320899371
278	0.231842077
279	0.2315375978
280	0.2312955346
281	0.2311411845
282	0.2308459921
283	0.2305798698
284	0.2304574029
285	0.2301680472
286	0.2299874548
287	0.2296360936
288	0.2292413868
289	0.2289776445
290	0.2288041424
291	0.2285287671
292	0.2282719773
293	0.228174637
294	0.227846347
295	0.2275193872
296	0.2272917753
297	0.2271348029
298	0.2269702387
299	0.2268108939
300	0.2265835563
301	0.2264060964
302	0.226205459
303	0.2259193947
304	0.2256395825
305	0.2253742682
306	0.2251274512
307	0.2248147298
308	0.2245875717
309	0.2244324223
310	0.2242710761
311	0.2239407952
312	0.2236439627
313	0.2233960611
314	0.2231598295
315	0.2229762329
316	0.2226768798
317	0.2222620117
