iter	Passed	Remaining
0	357	357620
1	504	251812
2	648	215518
3	798	198820
4	964	191924
5	1098	182065
6	1228	174269
7	1369	169875
8	1509	166256
9	1641	162531
10	1791	161049
11	1916	157832
12	2064	156772
13	2203	155194
14	2369	155591
15	2540	156260
16	2682	155132
17	2831	154489
18	3025	156210
19	3151	154422
20	3308	154261
21	3477	154587
22	3638	154556
23	3793	154268
24	3959	154431
25	4117	154236
26	4257	153424
27	4486	155735
28	4824	161536
29	4974	160838
30	5110	159758
31	5258	159057
32	5455	159858
33	5590	158822
34	5721	157747
35	5908	158229
36	6087	158429
37	6270	158750
38	6419	158188
39	6563	157523
40	6870	160691
41	7035	160470
42	7223	160771
43	7501	162984
44	7766	164813
45	7982	165541
46	8199	166248
47	8366	165926
48	8507	165111
49	8635	164077
50	8839	164486
51	9032	164667
52	9217	164701
53	9396	164619
54	9541	163948
55	9709	163669
56	9835	162725
57	9979	162084
58	10140	161725
59	10288	161183
60	10451	160888
61	10601	160392
62	10766	160129
63	10947	160109
64	11128	160085
65	11274	159548
66	11475	159802
67	11659	159801
68	11812	159387
69	11975	159107
70	12149	158970
71	12317	158757
72	12469	158340
73	12634	158096
74	12823	158150
75	13009	158174
76	13176	157946
77	13370	158048
78	13548	157950
79	13691	157453
80	13847	157114
81	14036	157137
82	14190	156776
83	14404	157078
84	14589	157049
85	14744	156700
86	14886	156220
87	15023	155697
88	15149	155068
89	15276	154464
90	15394	153776
91	15519	153166
92	15668	152806
93	15817	152455
94	15966	152105
95	16112	151729
96	16250	151284
97	16420	151131
98	16548	150605
99	16685	150166
100	16796	149507
101	16935	149097
102	17052	148507
103	17191	148114
104	17323	147663
105	17463	147285
106	17594	146841
107	17736	146493
108	17879	146155
109	17998	145626
110	18111	145053
111	18233	144563
112	18370	144199
113	18504	143815
114	18631	143379
115	18766	143013
116	18910	142718
117	19046	142363
118	19160	141851
119	19303	141556
120	19431	141157
121	19543	140647
122	19681	140327
123	19813	139970
124	19932	139526
125	20066	139192
126	20219	138990
127	20358	138689
128	20507	138466
129	20644	138158
130	20807	138029
131	20943	137717
132	21095	137516
133	21269	137458
134	21425	137281
135	21565	137006
136	21679	136563
137	21831	136367
138	21967	136072
139	22099	135751
140	22233	135449
141	22362	135119
142	22482	134740
143	22615	134438
144	22735	134061
145	22860	133718
146	22981	133353
147	23117	133081
148	23245	132764
149	23374	132456
150	23499	132125
151	23627	131813
152	23739	131419
153	23874	131156
154	24010	130896
155	24142	130615
156	24258	130255
157	24395	130005
158	24516	129674
159	24659	129464
160	24799	129234
161	24919	128905
162	25057	128671
163	25217	128549
164	25355	128312
165	25473	127983
166	25609	127739
167	25728	127419
168	25843	127076
169	25987	126878
170	26133	126691
171	26261	126422
172	26386	126137
173	26503	125816
174	26638	125582
175	26752	125251
176	26888	125022
177	27008	124726
178	27142	124489
179	27274	124251
180	27411	124031
181	27532	123743
182	27645	123421
183	27778	123190
184	27910	122956
185	28026	122652
186	28161	122434
187	28286	122172
188	28415	121929
189	28555	121735
190	28661	121398
191	28778	121109
192	28905	120861
193	29030	120610
194	29163	120394
195	29280	120107
196	29415	119901
197	29550	119693
198	29659	119385
199	29808	119234
200	29931	118982
201	30058	118744
202	30186	118514
203	30306	118254
204	30405	117913
205	30526	117659
206	30649	117415
207	30782	117208
208	30908	116978
209	31044	116784
210	31181	116596
211	31320	116418
212	31436	116151
213	31542	115852
214	31670	115635
215	31801	115426
216	31935	115230
217	32070	115043
218	32185	114780
219	32334	114638
220	32469	114452
221	32597	114236
222	32724	114023
223	32867	113861
224	32989	113631
225	33132	113471
226	33256	113248
227	33375	113006
228	33505	112805
229	33656	112674
230	33794	112500
231	33950	112387
232	34093	112231
233	34227	112043
234	34378	111912
235	34520	111753
236	34642	111529
237	34791	111391
238	34921	111194
239	35043	110971
240	35191	110832
241	35324	110643
242	35450	110437
243	35585	110257
244	35722	110082
245	35838	109846
246	35976	109676
247	36087	109425
248	36220	109242
249	36353	109061
250	36471	108834
251	36588	108604
252	36711	108394
253	36903	108386
254	37046	108234
255	37167	108019
256	37300	107838
257	37441	107679
258	37551	107434
259	37722	107364
260	37851	107174
261	37961	106928
262	38103	106775
263	38226	106570
264	38374	106434
265	38539	106345
266	38674	106173
267	38842	106091
268	38988	105949
269	39106	105732
270	39233	105539
271	39367	105366
272	39481	105139
273	39606	104943
274	39728	104737
275	39863	104570
276	39970	104328
277	40104	104155
278	40220	103938
279	40337	103724
280	40480	103578
281	40623	103432
282	40739	103216
283	40856	103004
284	40994	102845
285	41126	102671
286	41232	102435
287	41353	102234
288	41487	102068
289	41627	101915
290	41758	101742
291	41901	101595
292	42028	101412
293	42166	101257
294	42304	101099
295	42432	100921
296	42545	100704
297	42683	100549
298	42822	100395
299	42960	100240
300	43068	100016
301	43195	99835
302	43323	99657
303	43451	99480
304	43576	99296
305	43694	99098
306	43832	98943
307	43954	98755
308	44078	98570
309	44218	98421
310	44340	98234
311	44477	98079
312	44603	97900
313	44736	97736
314	44848	97526
315	44959	97317
316	45097	97165
317	45227	96996
318	45372	96861
319	45482	96650
320	45594	96444
321	45725	96279
322	45857	96116
323	45997	95969
324	46120	95787
325	46235	95590
326	46378	95451
327	46510	95289
328	46627	95096
329	46737	94892
330	46852	94696
331	47000	94567
332	47139	94421
333	47278	94274
334	47397	94086
335	47531	93931
336	47669	93783
337	47806	93633
338	47942	93480
339	48075	93323
340	48180	93112
341	48329	92984
342	48466	92835
343	48577	92635
344	48696	92452
345	48830	92298
346	48940	92098
347	49071	91939
348	49190	91756
349	49311	91578
350	49431	91398
351	49572	91259
352	49702	91098
353	49826	90925
354	49953	90760
355	50080	90595
356	50185	90390
357	50309	90220
358	50446	90072
